timestamp,symbol,action,confidence,buy_prob,sell_prob,hold_prob
2025-09-01 05:09:54.914000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 05:09:55.305000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 05:10:55.677000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 05:10:56.054000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 05:10:56.449000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 05:10:56.822000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 05:11:57.196000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 05:11:57.584000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 05:11:57.979000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 05:11:58.365000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 05:12:58.756000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 05:12:59.146000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 05:12:59.521000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 05:12:59.914000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 05:14:00.271000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 05:14:00.662000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 05:14:01.041000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 05:14:01.442000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
2025-09-01 05:15:01.806000,BTCUSDT,HOLD,0.787,0.064,0.149,0.787
2025-09-01 05:15:02.197000,ETHUSDT,HOLD,0.896,0.027,0.077,0.896
2025-09-01 05:15:02.584000,SOLUSDT,HOLD,0.925,0.02,0.055,0.925
2025-09-01 05:15:02.977000,DOGEUSDT,HOLD,0.974,0.007,0.019,0.974
